"","Timestamp","¿Usted.es.o.ha.sido.usuario.de.Tinder?","Indique.su.genero","¿Su.edad.es?","¿Con.que.grupo.étnico.se.identifica?","5.¿Como.usuario.de.Tinder.usted.busca.establecer.contacto.con?","3..¿Con.qué.finalidad.ha.buscado.hacer.match.en.Tinder?","Agerank","Match.con","8..Califique.de.1.a.5.las.siguientes.imágenes.donde.5.es.la.calificación.más.alta.y.1.la.calificación.más.baja","8..Califique.de.1.a.5.las.siguientes.imágenes.donde.5.es.la.calificación.más.alta.y.1.la.calificación.más.baja.1","8..Califique.de.1.a.5.las.siguientes.imágenes.donde.5.es.la.calificación.más.alta.y.1.la.calificación.más.baja.2","8..Califique.de.1.a.5.las.siguientes.imágenes.donde.5.es.la.calificación.más.alta.y.1.la.calificación.más.baja.3","Escoja.3.opciones.,.ordenándolas.de.tal.manera.que.1.sea.la.más.importante.y.3.la.menos.importante..1","Escoja.3.opciones.,.ordenándolas.de.tal.manera.que.1.sea.la.más.importante.y.3.la.menos.importante..2","Escoja.3.opciones.,.ordenándolas.de.tal.manera.que.1.sea.la.más.importante.y.3.la.menos.importante..3","¿Cuál.es.tu.nivel.educativo?(finalizado.o.en.curso)","Barrio","¿Cuál.es.tu.estado.civil?","eleccion1","eleccion2","eleccion3","gusto","gusto1","gusto2","gusto3","gusto4","finalidad","finalidadsexo","genero","educacion","edad"
"23",42867.5434816667,"Sí","Femenino",36,"Mestizo","Hombres","No lo tengo claro","Mas de 35 años","Alvaro",2,1,3,2," Cara","Contexto(fondo/escenario de la foto)"," Pose","Especialización/maestria/doctorado","San Fernando","Soltero"," Cara","Contexto(fondo/escenario de la foto)"," Pose",1,1,1,1,1,0,0,"Femenino","Especialización/maestria/doctorado",36
"24",42867.6020822338,"Sí","Masculino",39,"Mestizo","Mujeres","Buscar pareja estable","26 - 35 años","Angelica",4,3,3,4," Cara"," Cuerpo"," Edad","Especialización/maestria/doctorado","Ciudad Jardín","Soltero"," Cara"," Cuerpo"," Edad",1,1,1,1,1,0,0,"Masculino","Especialización/maestria/doctorado",39
"25",42867.6188648958,"Sí","Masculino",38,"Blanco","Mujeres","Buscar un encuentro sexual","26 - 35 años","Johana",3,1,4,3," Cuerpo"," Edad","Institucion educativa","Universitario profesional","no","Soltero"," Cuerpo"," Edad","Institucion educativa",1,1,1,1,1,1,1,"Masculino","Universitario profesional",38
"26",42867.9720371991,"Sí","Femenino",42,"Blanco","Hombres","Curiosidad","Mas de 35 años","Jaime",3,2,1,1,"Conexiones en comun"," Edad","Vestuario","Especialización/maestria/doctorado","Virrey","Soltero","Conexiones en comun"," Edad","Vestuario",0,0,0,2,1,0,0,"Femenino","Especialización/maestria/doctorado",42
"27",42868.340506713,"Sí","Femenino",41,"Mestizo","Hombres","Hacer amigos","Mas de 35 años","Alvaro",3,4,3,1," Distancia",NA,NA,"Universitario profesional","Bogota","Soltero"," Distancia",NA,NA,0,0,0,0,0,0,0,"Femenino","Universitario profesional",41
"28",42868.3495661111,"Sí","Masculino",43,"Mestizo","Mujeres","Buscar un encuentro sexual","26 - 35 años","Angelica",5,2,3,5," Cara"," Cuerpo","Institucion educativa","Especialización/maestria/doctorado","Pampalinda","Soltero"," Cara"," Cuerpo","Institucion educativa",1,1,1,1,1,1,1,"Masculino","Especialización/maestria/doctorado",43
"29",42868.6806501389,"Sí","Femenino",39,"Mestizo","Hombres","Hacer amigos","Mas de 35 años","Alvaro",2,1,4,1," Cuerpo"," Cara","Contexto(fondo/escenario de la foto)","Universitario profesional","san fernando","Soltero"," Cuerpo"," Cara","Contexto(fondo/escenario de la foto)",1,1,1,1,1,0,0,"Femenino","Universitario profesional",39
"30",42868.7664612384,"Sí","Masculino",38,"Mestizo","Mujeres","Hacer amigos","26 - 35 años","Johana",2,3,4,3," Cara"," Cuerpo","Descripcion personal","Universitario profesional","Juanambu","Casado"," Cara"," Cuerpo","Descripcion personal",1,1,1,1,1,0,0,"Masculino","Universitario profesional",38
"31",42869.5088004167,"Sí","Femenino",36,"Blanco","Ambos","Ver cuántas mujeres bi cerca mío ","26 - 35 años","Johana",2,3,5,4,"Descripcion personal"," Edad","Lugar de trabajo","Especialización/maestria/doctorado","La Flora","Casado","Descripcion personal"," Edad","Lugar de trabajo",0,0,0,0,1,0,0,"Femenino","Especialización/maestria/doctorado",36
"32",42869.8645500926,"Sí","Masculino",36,"Blanco","Mujeres","Buscar pareja estable","26 - 35 años","Angelica",4,5,2,3," Cara","Descripcion personal"," Edad","Especialización/maestria/doctorado","ENVIGADO ","Soltero"," Cara","Descripcion personal"," Edad",1,1,1,1,1,0,0,"Masculino","Especialización/maestria/doctorado",36
